reviewer_name,rating,review_text
icha lintin,5,"Tempatnya nyaman, makanan yang enak dan ada live musiknya"
mas daeng,5,"Memasaknya menggunakan bahan bakar dr kayu alami,, khas rasanya"
Ulfah Mahfufah,1,"Sebenarnya suka dgn coto paraikatte apalgi yg di pettarani tp cabang perintis ini sgt berbeda jauh dri segi pelayanannya. Tanya ada es batu katanya ada, sdh minta es batu (niatnya mau diksh sama teh botol) tp tdk kunjung datang sampai coto sdh habis dimakan. Pelayan yg tmpt sy minta es batu pun cuma duduk manis. Pas dtg juga mejanya kotor dan lengket sprti tdk di lap. Setelah sy lap pkai tisu dan mau cuci tangan, air di westafelnya tidak menyala. Sungguh pengalaman yg sgt buruk"
advendy saputra,4,"Makanan enak, buka sampai malam."
Andi Yusniar,1,"coto nya dijam 12 malam sudah mulai hambar, bukan lagi kuah coto, tapi kuah sotoï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ p"
Dewi Nursady,5,"Coto nya enak, pelayanannya baik, dan tempatnya cukup bersih"
Jendral Sudirman,5,"Masakan yang khas yang masih Original , diolah dgn cara tradisionil, enak dan bergizi."
Amil R,1,"Rasa cotonya sudah jauh beda dengan dulu, pesan porsi besar juga dagingnya kayak sedikit dan potongan kecil. Pembayaran juga cuman menerima tunai, tidak menerima QRIS."
Hendrawan Candra Purnama,4,"Coto Makassar yang nikmat. Minuman kurang usaha..hanya ada dingin dan normal, tidak ada yang hangat saat malam Hari."
nisma yani,1,WCnya rusak dan tidak ada informasinya... sehingga pas masuk WC di baknya full kotoran... Sebaiknya kedepannya dibersihkan demi kenyamanan pembeli.
Muhammad Hamzah,5,Salah satu tempat makan favorit di Makassar. Lokasi strategis tepi jalan Poros Makassar Maros
Irfan,5,"Coto paling enak menurut saya dibanding yang lain, bumbunya pekat, bisa tambah daun bawang dan bawang goreng. Gooooddd. Tersedia mini maupun yg besar cotonya"
Surya Hari putra,5,"Favorit deh khususnya coto ukuran besarnya. Dengan harga 18 ribu udah kenyang diriku makan dengan ketupat 2 ribuan. Tempatnya cukup bersih meski parkir bayar dan sayangnya belum ada atap di tempat parkirnya.

Selalu ramai pengunjung bahkan tempat parkirnya juga rame.

Bumbu cotonya enaklah dan ukuran ketupatnya besar sesuai harga deh"
toke sang,3,Emang dari dulu terkenal tapi setelah keliling sekitar Perintis dan Urip sy tau mana rasa daging impor dan daging lokal. Tempat ini bisa sy pastikan semua impor krn rasanya terlalu lain utk isiannya. Utk kuah dan lainnya enak hanya emang daging dan isi lainnya full impor jd seperti ada pahitï¿½ï¿½nya. Kalo di suruh pilih dgn Dg Tata yg di Batua sgt terasa beda rasa dan tekstur dagin
Adri Rahmat Ilyas,1,"Pelayanan kurang baik, minta es  batu gak di kasih"
Dr. Ir. Louis S Ridwan MPsi,5,Rasanya pas & mantul.. apalagi daging nya empuk banget
Yusvita Sulhadri,5,"Makananx enak, layanan cepat, suasana biasa saja. Sekedar info saja, klo bawa tas ransel jgn simpan dalam mobil, trus parkir mobil sebaiknya di depan rmh makannya,,,, coz pernah mkn disini, abis makan balik ke mobil, eh kaca mobilx sdh hancur, tas ransel udah Ng ada."
Feeka Fitriani,3,"Saya datang waktu hari Minggu jam empat sore. Bersama orang tua. Orang tua makan coto campur dan saya makan coto paru. Baru kali ini makan coto dapat paru yang gosong. Kuahnya lumayan nikmat.. Warungnya luas..
Pelayannya kurang ramah mungkin krn sudah lelah.
Semoga kunjungan dilain waktu sudah tidak begitu lagi.."
Nicky Langï¿,3,Tdk sesuai ekspektasiku ahahah ï¿½ï¿½ï¿½ï¿½. Sorry tpi kurang enak menurutku. Masih banyak vlcoto pinggir jalan lainnya yg lebih enak. Enakan yg depan pintu 1 sih ï¿½ï¿½ï¿½ï¿½. Porsi besar 20rb
diana muchsin,5,"1. Parkir cukup luas
2. Tempat cukup bersih
3. Porsi lbh banyak dr coto pada umumnya
4. Daging empuk dg cita rasa khas
5. Bawang gorenh extra jg banyak
6. Pelayanan cukup baik
7. Ruangan tanpa ac, tp atap tinggi dan banyak ventilasi shg cukup lapang."
Muhammadiyah Yunus,3,"Ini adalah warung Coto Makassar yang cukup populer, dengan ruang makan yang khas warung Coto, begitu masuk bisa langsung order Coto sesuai selera, bagi yang suka makan hati dan jeroan lainnya bisa minta coto campur daging, atau yang mau hati saja, atau jeroan saja atau otak, dan lain lain. Makan Coto lebih pas kalau dengan ketupat, cara makannya pun, ketupat di tangan kiri, lalu dibelah jadi dua bagian dan ketupatnya disendok bersama kuah Coto atau dengan dagingy sekaligus, jangan lupa tambahkan dengan jeruk nipis supaya lebih terasa asam asamnya, serta Lombok tauco yang dibuat dari kedelai ampas kecap... Pokoknya sedap ... Dan rasa mau nambah"
Wahyu Eka Putra Gani,5,"Cabang dari Coto Paraikatte di Pettarani, Coto dan ketupatnya enak dan masih tergolong murah saat ini, parkiran cukup untuk beberapa mobil dan motor, pelayanan baik, kadang ada hiburan musik oleh penyanyi/pengamen tetap."
Kiki Rizki Lestari,5,"Enak, murah, tapi gak murahan, searah dgn arah bandara."
Yudith Lukas,4,"Kurang bersih toiletnya... sy pernah liat di depan mata, buka bawang merah lgsg dikupas dan pakai alat pemotongan tanpa dicuci terlebih dahulu...
Berharap kebersihan toilet dan makananx benar2 bersih dan aman agar pembeli jg gak was2"
Ancha Alf,5,"Cotonya enak dan segar, porsi besar nya luar biasa banyak porsinya, suasananya nyaman plus dihibur sama pengamen yg keren suaranya, kaya pro banget pengamen nya.. cuman klo hujan agak sedikit bocor di beberapa tempat.. menu andalan ku paru hati/ separuh hati ï¿½ï"
kuratorcoto,5,"Coto paraikate memiliki citarasa tersendiri, salah satu jajaran coto terbaik di Makassar yang telah memiliki banyak cabang, silahkan mencoba sensasi makan coto disini, uniknya ada porsi kecil/setengah disediakan secara tertulis di menu yang ditampilkan di tempat ini"
Iwan Thim,1,"Dulubsering kesini tp,to skg tempatnya kotor dan Banyak sekali lalat,jd risih ng nikmat makan semoga ownernya membaca keluhan konsumen supaya lbh baik lagi"
choco berry channel,1,"Jorok banyak lalat tdkada niat pelayan kasi lilin biar lalatnya pergi,panas disuruh nyalain kipas ktanya kipas rusak masa iya semua kipas rusak,kasirnya jutek dan tdk ramah"
